scenario_id,seed,miners,domain_size,config_hash,total_candidate_evaluations,distinct_candidate_identities,duplicate_evaluations,duplicate_rate,overlap_headers,unsearched_candidates,active_energy_kwh,idle_energy_kwh,coordination_energy_kwh,total_energy_kwh,total_active_time_s,total_idle_time_s,finders,idle_policy,common_template
B0,1,5,500,51f61088e1cac68f,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,False,False
B0,2,5,500,296c2986c1a1d73b,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,False
B0,3,5,500,434afc4c8c5138f5,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,False
B1,1,5,500,0292657083f21b53,500,100,400,0.8,100,400,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,False,True
B1,2,5,500,fbedf6d9d402b30b,500,100,400,0.8,100,400,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
B1,3,5,500,62a436f712502bbf,500,100,400,0.8,100,400,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
B2,1,5,500,b51746b7ae491ef8,500,359,141,0.282,141,141,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,False,True
B2,2,5,500,dada6506d4ba529c,500,352,148,0.296,119,148,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
B2,3,5,500,74b4b963eb38d9f3,500,276,224,0.448,101,224,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
B3,1,5,500,28292041d593ebae,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,False,True
B3,2,5,500,96c3acf74e91e63e,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
B3,3,5,500,88fb5fb8ee032a6f,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
C1,1,5,500,b9f65cfe76368bea,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,False,True
C1,2,5,500,49c343fa61232515,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
C1,3,5,500,f48746083a332c56,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,False,True
C2,1,5,500,c3594b69d73f282a,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,2,True,True
C2,2,5,500,a4a387a7fb94ec46,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,True,True
C2,3,5,500,c58a1b506089f292,500,500,0,0.0,0,0,2.9861111111111107e-15,0.0,0.0,2.9861111111111107e-15,500.0,0.0,0,True,True
B0,1,10,1000,0e7f106412de9e6a,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,2,False,False
B0,2,10,1000,9479bda02d403ea5,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,0,False,False
