block,mu,S,p,method,trials,P0,P0_ref,P0_abs_err,P0_within_4se,P2plus,P2plus_ref,mean,mean_ref,lecam_tv_bound,regime,binom_P0,pois_P0,binom_P2plus,pois_P2plus,n_ranges,sizes_sum,perrange_mean,global_mean,perrange_var,global_var,mean_abs_err,ref_mean_index,finder_mean_index,ref_n,finder_n,rel_err,ks_stat,ks_pvalue
count_distribution,0.1,5000,2e-05,bernoulli,200000,0.90575,0.9048365131869291,0.0009134868130709073,True,0.00495,0.004678025785157222,0.09937,0.1,2.0000000000000003e-06,,,,,,,,,,,,,,,,,,,
count_distribution,0.1,5000,2e-05,binomial,200000,0.90549,0.9048365131869291,0.0006534868130708693,True,0.00471,0.004678025785157222,0.099345,0.1,2.0000000000000003e-06,,,,,,,,,,,,,,,,,,,
count_distribution,0.1,5000,2e-05,poisson,200000,0.905225,0.9048374180359595,0.00038758196404042877,True,0.004645,0.004678840160444474,0.099575,0.1,2.0000000000000003e-06,,,,,,,,,,,,,,,,,,,
count_distribution,0.5,5000,0.0001,bernoulli,200000,0.60759,0.6065154956247448,0.0010745043752551364,True,0.08924,0.09019642775522071,0.49824,0.5,5e-05,,,,,,,,,,,,,,,,,,,
count_distribution,0.5,5000,0.0001,binomial,200000,0.60661,0.6065154956247448,9.450437525515554e-05,True,0.09052,0.09019642775522071,0.50036,0.5,5e-05,,,,,,,,,,,,,,,,,,,
count_distribution,0.5,5000,0.0001,poisson,200000,0.605945,0.6065306597126334,0.0005856597126334684,True,0.089275,0.09020401043104986,0.49969,0.5,5e-05,,,,,,,,,,,,,,,,,,,
count_distribution,1.0,5000,0.0002,bernoulli,200000,0.36911,0.3678426501613566,0.0012673498386434057,True,0.26243,0.2642411164306052,0.99643,1.0,0.0002,,,,,,,,,,,,,,,,,,,
count_distribution,1.0,5000,0.0002,binomial,200000,0.368745,0.3678426501613566,0.0009023498386434015,True,0.263915,0.2642411164306052,0.998695,1.0,0.0002,,,,,,,,,,,,,,,,,,,
count_distribution,1.0,5000,0.0002,poisson,200000,0.36639,0.36787944117144233,0.0014894411714423406,True,0.266495,0.2642411176571153,1.004725,1.0,0.0002,,,,,,,,,,,,,,,,,,,
count_distribution,2.0,5000,0.0004,bernoulli,200000,0.13532,0.13528114551437725,3.88544856227413e-05,True,0.59512,0.5940482952330779,2.00395,2.0,0.0008,,,,,,,,,,,,,,,,,,,
count_distribution,2.0,5000,0.0004,binomial,200000,0.134235,0.13528114551437725,0.0010461455143772613,True,0.595165,0.5940482952330779,2.00301,2.0,0.0008,,,,,,,,,,,,,,,,,,,
count_distribution,2.0,5000,0.0004,poisson,200000,0.135855,0.1353352832366127,0.0005197167633873012,True,0.59375,0.5939941502901616,1.998895,2.0,0.0008,,,,,,,,,,,,,,,,,,,
count_distribution,5.0,5000,0.001,bernoulli,200000,0.00685,0.006721111959865611,0.00012888804013438948,True,0.958855,0.9596396890418082,4.996745,5.0,0.005,,,,,,,,,,,,,,,,,,,
count_distribution,5.0,5000,0.001,binomial,200000,0.006875,0.006721111959865611,0.00015388804013438933,True,0.95948,0.9596396890418082,5.0019,5.0,0.005,,,,,,,,,,,,,,,,,,,
count_distribution,5.0,5000,0.001,poisson,200000,0.006585,0.006737946999085467,0.0001529469990854673,True,0.960885,0.9595723180054873,5.00365,5.0,0.005,,,,,,,,,,,,,,,,,,,
poisson_vs_binomial,2.0,20,0.1,,,,,0.013758628646043478,,,,,,0.2,small_S20,0.12157665459056922,0.1353352832366127,0.6082530018748321,0.5939941502901616,,,,,,,,,,,,,,
poisson_vs_binomial,2.0,5000,0.0004,,,,,5.413772223544777e-05,,,,,,0.0008,sim_S1e5,0.13528114551437725,0.1353352832366127,0.5940482952330779,0.5939941502901616,,,,,,,,,,,,,,
poisson_vs_binomial,2.0,169200000000000000,1.182033096926714e-17,,,,,2.7755575615628914e-17,,,,,,2.364066193853428e-17,thesis,0.13533528323661267,0.1353352832366127,0.5939941502901618,0.5939941502901616,,,,,,,,,,,,,,
per_range_assignment,,5000,,,,,,,,,,,,,,,,,,2,5000,2.00073,1.998585,1.9939994670999999,2.0082729977749993,0.0021449999999998415,,,,,,,
per_range_assignment,,5000,,,,,,,,,,,,,,,,,,10,5000,2.00054,2.002395,2.0074797084,2.005779263975,0.00185499999999994,,,,,,,
per_range_assignment,,5000,,,,,,,,,,,,,,,,,,100,5000,2.002455,1.99893,2.002538972975,1.9940588551,0.0035249999999997783,,,,,,,
discovery_time,0.5,5000,0.0001,,,,,,,,,,,,,,,,,,,,,,,,2296.770957801396,2309.973448516801,15901,15743,0.005748283550242737,0.011006128432123785,0.29115453947382675
discovery_time,2.0,5000,0.0004,,,,,,,,,,,,,,,,,,,,,,,,1719.6775945235552,1708.4022978576365,34621,34728,0.006556634046885112,0.006987254108415275,0.36403285058466917
discovery_time,5.0,5000,0.001,,,,,,,,,,,,,,,,,,,,,,,,965.5919973844374,968.212014489837,39762,39752,0.0027133790591643368,0.008154737988273097,0.1413641003755014
