tag,exec_model,seed,energy_or_total,recon_pass
B0_N100_s20260201,bitcoin_independent_pow,20260201,8.420833333333345,True
B0_N100_s20260202,bitcoin_independent_pow,20260202,8.420833333333345,True
B0_N100_s20260203,bitcoin_independent_pow,20260203,8.420833333333343,True
B0_N500_s20260201,bitcoin_independent_pow,20260201,8.420833333333418,True
B0_N500_s20260202,bitcoin_independent_pow,20260202,8.420833333333418,True
B0_N500_s20260203,bitcoin_independent_pow,20260203,8.420833333333418,True
B3C1_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
B3C1_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
B3C1_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
B3C1_N500_s20260201,pocol_continuous,20260201,8.420833333333418,True
B3C1_N500_s20260202,pocol_continuous,20260202,8.420833333333418,True
B3C1_N500_s20260203,pocol_continuous,20260203,8.420833333333418,True
DELAY0.0_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
DELAY0.0_N100_s20260202,pocol_continuous,20260202,8.420833333333345,True
DELAY0.0_N100_s20260203,pocol_continuous,20260203,8.420833333333345,True
DELAY0.42_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
DELAY0.42_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
DELAY0.42_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
DELAY5.0_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
DELAY5.0_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
DELAY5.0_N100_s20260203,pocol_continuous,20260203,8.420833333333345,True
DELAY30.0_N100_s20260201,pocol_continuous,20260201,8.420833333333343,True
DELAY30.0_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
DELAY30.0_N100_s20260203,pocol_continuous,20260203,8.420833333333345,True
DELAY60.0_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
DELAY60.0_N100_s20260202,pocol_continuous,20260202,8.420833333333345,True
DELAY60.0_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
MU0.5_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
MU0.5_N100_s20260202,pocol_continuous,20260202,8.420833333333345,True
MU0.5_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
MU1.0_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
MU1.0_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
MU1.0_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
MU2.0_N100_s20260201,pocol_continuous,20260201,8.420833333333345,True
MU2.0_N100_s20260202,pocol_continuous,20260202,8.420833333333343,True
MU2.0_N100_s20260203,pocol_continuous,20260203,8.420833333333343,True
B1_N100_s20260201,direct_coverage_model,20260201,5.972222222222228e-14,True
B2_N100_s20260201,direct_coverage_model,20260201,5.972222222222228e-14,True
B1_N100_s20260202,direct_coverage_model,20260202,5.972222222222228e-14,True
B2_N100_s20260202,direct_coverage_model,20260202,5.972222222222228e-14,True
B1_N100_s20260203,direct_coverage_model,20260203,5.972222222222228e-14,True
B2_N100_s20260203,direct_coverage_model,20260203,5.972222222222228e-14,True
C2hom_N100_i0.0_s20260201,direct_coverage_model,20260201,5.972222222222228e-14,True
C2hom_N100_i0.0_s20260202,direct_coverage_model,20260202,5.972222222222228e-14,True
C2hom_N100_i0.0_s20260203,direct_coverage_model,20260203,5.972222222222228e-14,True
C2hom_N100_i0.1_s20260201,direct_coverage_model,20260201,5.972222222222228e-14,True
C2hom_N100_i0.1_s20260202,direct_coverage_model,20260202,5.972222222222228e-14,True
C2hom_N100_i0.1_s20260203,direct_coverage_model,20260203,5.972222222222228e-14,True
C2hom_N100_i0.3_s20260201,direct_coverage_model,20260201,5.972222222222228e-14,True
C2hom_N100_i0.3_s20260202,direct_coverage_model,20260202,5.972222222222228e-14,True
C2hom_N100_i0.3_s20260203,direct_coverage_model,20260203,5.972222222222228e-14,True
C2hom_N500_i0.0_s20260201,direct_coverage_model,20260201,2.9861111111110904e-13,True
C2hom_N500_i0.0_s20260202,direct_coverage_model,20260202,2.9861111111110904e-13,True
