run_id,scenario,scientific_semantics_hash,run_execution_hash,seed,accepted_blocks,pmg_rows,retained_full_log
S5B2-00000,B0,5003b4e7ac90b8cc,d8993b9648007f88,20260201,14,1700,True
S5B2-00001,B0,5003b4e7ac90b8cc,b27f1e13d593a2d7,20260202,16,1800,True
S5B2-00002,B0,5003b4e7ac90b8cc,a85d5df0c6096599,20260203,14,1700,False
S5B2-00003,B0,5003b4e7ac90b8cc,4c972af9e1ed7fd4,20260204,19,2300,False
S5B2-00004,B0,5003b4e7ac90b8cc,3deefaad4b45784b,20260205,15,2000,False
S5B2-00005,B0,5003b4e7ac90b8cc,c748fbd2c81a54d4,20260206,18,2100,False
S5B2-00006,B0,5003b4e7ac90b8cc,e7aed4d797badc8f,20260207,18,2100,False
S5B2-00007,B0,5003b4e7ac90b8cc,5cf7aa7d4344e41f,20260208,11,1500,False
S5B2-00008,B0,5003b4e7ac90b8cc,28c514e0b53dc462,20260209,18,2100,False
S5B2-00009,B0,5003b4e7ac90b8cc,b7576846774fe7a9,20260210,18,2200,False
S5B2-00010,B0,5003b4e7ac90b8cc,4cf905fcd6f456a6,20260211,13,1700,False
S5B2-00011,B0,5003b4e7ac90b8cc,16b86ee58d90919c,20260212,17,2000,False
S5B2-00012,B0,5003b4e7ac90b8cc,d23d99c26b53c27b,20260213,15,1800,False
S5B2-00013,B0,5003b4e7ac90b8cc,8bd048ea631a449d,20260214,13,1600,False
S5B2-00014,B0,5003b4e7ac90b8cc,6faa92b13e9d3930,20260215,20,2300,False
S5B2-00015,B0,5003b4e7ac90b8cc,66eae31a1a7a7fa4,20260216,18,2000,False
S5B2-00016,B0,5003b4e7ac90b8cc,91f0fa5667a9bf2a,20260217,22,2400,False
S5B2-00017,B0,5003b4e7ac90b8cc,4a7c441eb559307a,20260218,15,1900,False
S5B2-00018,B0,5003b4e7ac90b8cc,6df3878b9c92599e,20260219,19,2300,False
S5B2-00019,B0,5003b4e7ac90b8cc,039f730d90f49acc,20260220,19,2200,False
S5B2-00020,B0,5003b4e7ac90b8cc,342c62d58404bc56,20260221,20,2400,False
S5B2-00021,B0,5003b4e7ac90b8cc,75582c3aca345209,20260222,13,1900,False
S5B2-00022,B0,5003b4e7ac90b8cc,a97ae17ce34377c9,20260223,20,2200,False
S5B2-00023,B0,5003b4e7ac90b8cc,556c00af38421a6c,20260224,20,2200,False
S5B2-00024,B0,5003b4e7ac90b8cc,26c3f56c4d82dbde,20260225,24,2600,False
