scenario,miner_count,seed,equal,weighted
B3_C1_CONTINUOUS_DISJOINT,100,20260201,671.9100730180437,3.5310680413512417e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260202,931.1199600020864,3.533284991814599e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260203,719.5174297099596,3.2107555620994044e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260204,653.6601222073384,3.413215701109632e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260205,742.8019101553899,3.234287258327874e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260206,866.1499622360085,3.717137419354588e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260207,747.9246136885389,3.5078429023242393e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260208,834.197014720161,3.888859752865177e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260209,670.6475086128178,3.136584572123985e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260210,918.3315728346931,4.2451171403991256e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260211,660.7332896711702,3.045806319959935e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260212,729.7654673795518,3.03588984907695e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260213,915.4830859020576,3.394060044381051e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260214,777.3106410018553,3.506985912273848e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260215,761.4249335153098,3.30697423200606e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260216,715.1016523963526,3.355951623708301e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260217,716.0159585889769,3.4349646454995054e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260218,720.6321519358733,3.4600673088249515e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260219,613.0709672263608,3.193852324813389e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260220,877.7211263753977,4.545320753996782e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260221,757.4728496211532,3.5023461935282293e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260222,658.5211084107743,3.3241240431481446e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260223,872.3819632335152,3.3397535318491857e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260224,819.6007865515086,3.6110361056870505e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260225,795.9169766537847,3.4537248343299864e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260226,719.9585109472058,3.243537083171315e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260227,813.9875552948374,3.5859051461396827e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260228,851.8537188491363,3.1022566310541074e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260229,799.73412844839,3.5858288782276e-10
B3_C1_CONTINUOUS_DISJOINT,100,20260230,750.4640444078929,3.354043721364383e-10
B3_C1_CONTINUOUS_DISJOINT,500,20260201,748.6187128892279,1.7821617482676174e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260202,843.0816099503041,1.8347070587597487e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260203,766.8371094953579,1.648238668664922e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260204,753.8805283738291,1.72606392859254e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260205,865.9857607647579,1.792683557467703e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260206,866.9168334215295,1.7158457606616967e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260207,777.003858322595,1.7475871711399334e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260208,737.2326859142787,1.703908484796245e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260209,846.4373864752305,1.8527658758680263e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260210,787.7476052406234,1.873437048653241e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260211,781.8191765951979,1.6803345905583613e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260212,770.292505742425,1.7703724586382894e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260213,831.9435319216796,1.8149802419839548e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260214,766.5186352368721,1.6412211997835388e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260215,792.186966691125,1.8493672055806203e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260216,814.1815274268625,1.765205104496517e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260217,773.9343572929359,1.774877482447652e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260218,738.3307633945466,1.7795755633400538e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260219,834.5872833379033,1.7918324557359648e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260220,845.7679074450948,1.864836844947741e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260221,751.108202494645,1.8490196902777562e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260222,733.4228926360971,1.7517291421217367e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260223,880.2334787978112,1.7499022535747715e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260224,851.4796434840821,1.8112158075941032e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260225,806.523961514005,1.7408885685613152e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260226,820.422649913976,1.7286660066678247e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260227,805.3156184022106,1.7061256374331868e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260228,821.0921980074299,1.7180815592370895e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260229,766.3952037131244,1.812615958976104e-09
B3_C1_CONTINUOUS_DISJOINT,500,20260230,830.6328729950465,1.7574705975339812e-09
C2,100,20260201,671.9100730180437,3.5310680413512417e-10
C2,100,20260202,931.1199600020864,3.533284991814599e-10
C2,100,20260203,719.5174297099596,3.2107555620994044e-10
C2,100,20260204,653.6601222073384,3.413215701109632e-10
C2,100,20260205,742.8019101553899,3.234287258327874e-10
C2,100,20260206,866.1499622360085,3.717137419354588e-10
C2,100,20260207,747.9246136885389,3.5078429023242393e-10
C2,100,20260208,834.197014720161,3.888859752865177e-10
C2,100,20260209,670.6475086128178,3.136584572123985e-10
C2,100,20260210,918.3315728346931,4.2451171403991256e-10
C2,100,20260211,660.7332896711702,3.045806319959935e-10
C2,100,20260212,729.7654673795518,3.03588984907695e-10
C2,100,20260213,915.4830859020576,3.394060044381051e-10
C2,100,20260214,777.3106410018553,3.506985912273848e-10
C2,100,20260215,761.4249335153098,3.30697423200606e-10
C2,100,20260216,715.1016523963526,3.355951623708301e-10
C2,100,20260217,716.0159585889769,3.4349646454995054e-10
C2,100,20260218,720.6321519358733,3.4600673088249515e-10
C2,100,20260219,613.0709672263608,3.193852324813389e-10
C2,100,20260220,877.7211263753977,4.545320753996782e-10
C2,100,20260221,757.4728496211532,3.5023461935282293e-10
C2,100,20260222,658.5211084107743,3.3241240431481446e-10
C2,100,20260223,872.3819632335152,3.3397535318491857e-10
C2,100,20260224,819.6007865515086,3.6110361056870505e-10
C2,100,20260225,795.9169766537847,3.4537248343299864e-10
C2,100,20260226,719.9585109472058,3.243537083171315e-10
C2,100,20260227,813.9875552948374,3.5859051461396827e-10
C2,100,20260228,851.8537188491363,3.1022566310541074e-10
C2,100,20260229,799.73412844839,3.5858288782276e-10
C2,100,20260230,750.4640444078929,3.354043721364383e-10
C2,500,20260201,748.6187128892279,1.7821617482676174e-09
C2,500,20260202,843.0816099503041,1.8347070587597487e-09
C2,500,20260203,766.8371094953579,1.648238668664922e-09
C2,500,20260204,753.8805283738291,1.72606392859254e-09
C2,500,20260205,865.9857607647579,1.792683557467703e-09
C2,500,20260206,866.9168334215295,1.7158457606616967e-09
C2,500,20260207,777.003858322595,1.7475871711399334e-09
C2,500,20260208,737.2326859142787,1.703908484796245e-09
C2,500,20260209,846.4373864752305,1.8527658758680263e-09
C2,500,20260210,787.7476052406234,1.873437048653241e-09
C2,500,20260211,781.8191765951979,1.6803345905583613e-09
C2,500,20260212,770.292505742425,1.7703724586382894e-09
C2,500,20260213,831.9435319216796,1.8149802419839548e-09
C2,500,20260214,766.5186352368721,1.6412211997835388e-09
C2,500,20260215,792.186966691125,1.8493672055806203e-09
C2,500,20260216,814.1815274268625,1.765205104496517e-09
C2,500,20260217,773.9343572929359,1.774877482447652e-09
C2,500,20260218,738.3307633945466,1.7795755633400538e-09
C2,500,20260219,834.5872833379033,1.7918324557359648e-09
C2,500,20260220,845.7679074450948,1.864836844947741e-09
C2,500,20260221,751.108202494645,1.8490196902777562e-09
C2,500,20260222,733.4228926360971,1.7517291421217367e-09
C2,500,20260223,880.2334787978112,1.7499022535747715e-09
C2,500,20260224,851.4796434840821,1.8112158075941032e-09
C2,500,20260225,806.523961514005,1.7408885685613152e-09
C2,500,20260226,820.422649913976,1.7286660066678247e-09
C2,500,20260227,805.3156184022106,1.7061256374331868e-09
C2,500,20260228,821.0921980074299,1.7180815592370895e-09
C2,500,20260229,766.3952037131244,1.812615958976104e-09
C2,500,20260230,830.6328729950465,1.7574705975339812e-09
