outcome,mu,value
exhausted_rounds,0.5,24
exhausted_rounds,0.5,27
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,28
exhausted_rounds,0.5,24
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,26
exhausted_rounds,0.5,24
exhausted_rounds,0.5,23
exhausted_rounds,0.5,26
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,26
exhausted_rounds,0.5,27
exhausted_rounds,0.5,27
exhausted_rounds,0.5,25
exhausted_rounds,0.5,24
exhausted_rounds,0.5,22
exhausted_rounds,0.5,26
exhausted_rounds,0.5,26
exhausted_rounds,0.5,26
exhausted_rounds,0.5,29
exhausted_rounds,0.5,26
exhausted_rounds,0.5,22
exhausted_rounds,0.5,25
exhausted_rounds,0.5,23
exhausted_rounds,0.5,24
exhausted_rounds,0.5,25
exhausted_rounds,0.5,24
exhausted_rounds,0.5,28
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,30
exhausted_rounds,0.5,21
exhausted_rounds,0.5,27
exhausted_rounds,0.5,25
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,23
exhausted_rounds,0.5,25
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,27
exhausted_rounds,0.5,24
exhausted_rounds,0.5,27
exhausted_rounds,0.5,25
exhausted_rounds,0.5,24
exhausted_rounds,0.5,24
exhausted_rounds,0.5,27
exhausted_rounds,0.5,26
exhausted_rounds,0.5,25
exhausted_rounds,0.5,28
exhausted_rounds,0.5,28
exhausted_rounds,0.5,24
exhausted_rounds,0.5,25
exhausted_rounds,0.5,25
exhausted_rounds,0.5,24
exhausted_rounds,0.5,24
exhausted_rounds,1.0,7
exhausted_rounds,1.0,10
exhausted_rounds,1.0,11
exhausted_rounds,1.0,11
exhausted_rounds,1.0,10
exhausted_rounds,1.0,6
exhausted_rounds,1.0,11
exhausted_rounds,1.0,10
exhausted_rounds,1.0,9
exhausted_rounds,1.0,11
exhausted_rounds,1.0,10
exhausted_rounds,1.0,8
exhausted_rounds,1.0,8
exhausted_rounds,1.0,10
exhausted_rounds,1.0,6
exhausted_rounds,1.0,11
exhausted_rounds,1.0,10
exhausted_rounds,1.0,9
exhausted_rounds,1.0,10
exhausted_rounds,1.0,7
exhausted_rounds,1.0,11
exhausted_rounds,1.0,13
exhausted_rounds,1.0,5
exhausted_rounds,1.0,11
exhausted_rounds,1.0,8
exhausted_rounds,1.0,10
exhausted_rounds,1.0,10
exhausted_rounds,1.0,8
exhausted_rounds,1.0,7
exhausted_rounds,1.0,10
exhausted_rounds,1.0,7
exhausted_rounds,1.0,10
exhausted_rounds,1.0,10
exhausted_rounds,1.0,11
exhausted_rounds,1.0,9
exhausted_rounds,1.0,7
exhausted_rounds,1.0,10
exhausted_rounds,1.0,11
exhausted_rounds,1.0,9
exhausted_rounds,1.0,11
exhausted_rounds,1.0,9
exhausted_rounds,1.0,9
exhausted_rounds,1.0,8
exhausted_rounds,1.0,11
exhausted_rounds,1.0,7
exhausted_rounds,1.0,13
exhausted_rounds,1.0,11
exhausted_rounds,1.0,11
exhausted_rounds,1.0,9
exhausted_rounds,1.0,6
exhausted_rounds,1.0,10
exhausted_rounds,1.0,13
exhausted_rounds,1.0,5
exhausted_rounds,1.0,11
exhausted_rounds,1.0,8
exhausted_rounds,1.0,9
exhausted_rounds,1.0,10
exhausted_rounds,1.0,7
exhausted_rounds,1.0,6
exhausted_rounds,1.0,11
exhausted_rounds,2.0,3
exhausted_rounds,2.0,1
exhausted_rounds,2.0,3
exhausted_rounds,2.0,1
exhausted_rounds,2.0,4
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,1
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,1
exhausted_rounds,2.0,3
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,4
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,4
exhausted_rounds,2.0,0
exhausted_rounds,2.0,3
exhausted_rounds,2.0,4
exhausted_rounds,2.0,2
exhausted_rounds,2.0,1
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,4
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,2
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,3
exhausted_rounds,2.0,3
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,5
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,1
exhausted_rounds,2.0,2
exhausted_rounds,2.0,4
exhausted_rounds,2.0,2
exhausted_rounds,2.0,3
exhausted_rounds,2.0,4
coord_template_refresh_count,0.5,24
