hypothesis,label,family,outcome,direction_expected,n_pairs,n_dropped_na,ref_mean,trt_mean,mean_diff,median_diff_hl,sd_diff,dz,rel_change_vs_a,boot_ci_lo,boot_ci_hi,perm_p,p_holm,wilcoxon_p,perm_deterministic,direction_met
H1,H1: B1>B2 (duplicate_evaluation_rate),H1_duplicate_rate,duplicate_evaluation_rate,>,150,0,0.6000396582567409,0.9954333333333335,0.3953936750765925,0.3919527427850048,0.13356736790247126,2.9602565453360032,0.6589459040512522,0.37414543649531706,0.41614936268805863,9.999000099990002e-05,0.00029997000299970003,2.2996057560669792e-26,False,True
H1,H1: B2>B3/C1 (duplicate_evaluation_rate),H1_duplicate_rate,duplicate_evaluation_rate,>,150,0,0.0,0.6000396582567409,0.6000396582567409,0.6033097113793894,0.1337893632032811,4.484957876247857,,0.578741008277604,0.6211933240023068,9.999000099990002e-05,0.00029997000299970003,2.2996057560669792e-26,False,True
H1,H1: B1>B3/C1 (duplicate_evaluation_rate),H1_duplicate_rate,duplicate_evaluation_rate,>,150,0,0.0,0.9954333333333335,0.9954333333333335,0.9962500000000001,0.0029110604477833933,341.94869917294204,,0.9949533333333335,0.9958811111111112,9.999000099990002e-05,0.00029997000299970003,1.302296550044173e-26,False,True
H5,H5 B3 N=100: weighted vs equal (completion_time_std_s),H5_allocation,completion_time_std_s,<,30,0,769.4470361198714,3.4600194174936773e-10,-769.4470361195255,-767.309853615003,86.33762476102055,-8.912070933724749,-0.9999999999995504,-799.1031228019979,-739.7425935795696,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 B3 N=100: weighted vs equal (total_idle_time_s),H5_allocation,total_idle_time_s,<,30,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,True,False
H5,H5 B3 N=100: weighted vs equal (total_energy_kwh),H5_allocation,total_energy_kwh,,30,0,8.42083333333333,8.42083333333333,0.0,0.0,0.0,,0.0,0.0,0.0,,,,True,
H5,H5 B3 N=500: weighted vs equal (completion_time_std_s),H5_allocation,completion_time_std_s,<,30,0,800.3310489296936,1.7678572557454082e-09,-800.3310489279258,-800.0491781848583,43.00268423684694,-18.611188188158742,-0.9999999999977913,-815.4686525653522,-785.5125122052436,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 B3 N=500: weighted vs equal (total_idle_time_s),H5_allocation,total_idle_time_s,<,30,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,True,False
H5,H5 B3 N=500: weighted vs equal (total_energy_kwh),H5_allocation,total_energy_kwh,,30,0,8.420833333333329,8.420833333333329,0.0,0.0,0.0,,0.0,0.0,0.0,,,,True,
H5,H5 C2 N=100: weighted vs equal (completion_time_std_s),H5_allocation,completion_time_std_s,<,30,0,769.4470361198714,3.4600194174936773e-10,-769.4470361195255,-767.309853615003,86.33762476102055,-8.912070933724749,-0.9999999999995504,-799.1031228019979,-739.7425935795696,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=100: weighted vs equal (total_idle_time_s),H5_allocation,total_idle_time_s,<,30,0,386840.8337502038,2.0256915667237235e-07,-386840.83375000115,-383255.5760746051,134173.3227857209,-2.8831426823035335,-0.9999999999994762,-433814.1946890453,-339315.9319315924,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=100: weighted vs equal (total_energy_kwh),H5_allocation,total_energy_kwh,,30,0,5.0380260347363315,8.420833333331798,3.382807298595467,3.359235256867712,1.0311919792874442,3.28048255469655,0.6714549062016725,3.0165720719000975,3.741904018870168,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,
H5,H5 C2 N=500: weighted vs equal (completion_time_std_s),H5_allocation,completion_time_std_s,<,30,0,800.3310489296936,1.7678572557454082e-09,-800.3310489279258,-800.0491781848583,43.00268423684694,-18.611188188158742,-0.9999999999977913,-815.4686525653522,-785.5125122052436,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=500: weighted vs equal (total_idle_time_s),H5_allocation,total_idle_time_s,<,30,0,2231372.8946386483,7.921920991254305e-06,-2231372.894630727,-2277931.2502160836,823712.6274499539,-2.7089215586491635,-0.99999999999645,-2516333.798732471,-1937842.8020270986,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=500: weighted vs equal (total_energy_kwh),H5_allocation,total_energy_kwh,,30,0,4.612893111072233,8.420833333321331,3.8079402222491012,3.890452221552605,1.2248069777643895,3.109012514934918,0.8254993407735767,3.3719541038122043,4.232410463300742,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,
H6,H6 N=100 inact=0.05: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,0.0,,,8460000000000000.0,8460000000000000.0,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.05: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.3666666666666667,2.6333333333333333,0.26666666666666666,0.5,0.5832922809856748,0.45717503104282603,0.11267605633802817,0.06666666666666667,0.4666666666666667,0.0367963203679632,0.2943705629437056,0.03857421875,False,True
H6,H6 N=100 inact=0.05: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,608.2594206046218,660.9743221635805,52.714901558958644,49.34210526315792,66.17523985458399,0.7965955495559425,0.0866651625494908,30.57759746441771,77.30870570759015,0.00019998000199980003,0.0029997000299970007,0.0004348772241765822,False,True
H6,H6 N=100 inact=0.05: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.166666666666668,16.033333333333335,-1.1333333333333333,-1.0,1.3060425438846859,-0.8677614206673182,-0.06601941747572815,-1.6,-0.7,0.00019998000199980003,0.0029997000299970007,0.0003823271468924732,False,True
H6,H6 N=100 inact=0.05: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,7.9997916666666695,-0.42104166666666565,-0.42104166666666565,0.0,,-0.049999999999999906,-0.42104166666666565,-0.42104166666666565,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.05: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.5122051204341419,0.5287656874324859,0.01656056699834406,0.01335541000939855,0.050947604629561216,0.32505094437227294,0.03233190442201637,-0.0005645646431963234,0.03554570043086716,0.08539146085391461,0.426957304269573,0.2987775961294449,False,
H6,H6 N=100 inact=0.15: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,2.538e+16,2.538e+16,2.538e+16,0.0,,,2.538e+16,2.538e+16,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.15: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.3666666666666667,2.7666666666666666,0.4,0.5,1.0372377109252813,0.3856396617542712,0.16901408450704225,0.06666666666666667,0.8,0.0547945205479452,0.3835616438356164,0.040019580330901354,False,True
H6,H6 N=100 inact=0.15: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,608.2594206046218,710.7435449540712,102.48412434944946,83.33333333333331,132.25331989722315,0.7749077635940786,0.16848752502275793,58.95885572259412,152.6891508044759,9.999000099990002e-05,0.0023997600239976003,8.832385863081277e-05,False,True
H6,H6 N=100 inact=0.15: vs baseline (accepted_blocks),H6_inactive,accepted_blocks,<,30,0,17.166666666666668,14.866666666666667,-2.3,-2.0,2.4795717094024456,-0.9275795458056258,-0.13398058252427184,-3.2333333333333334,-1.4666666666666666,9.999000099990002e-05,0.0023997600239976003,8.058194031965037e-05,False,True
H6,H6 N=100 inact=0.15: vs baseline (total_energy_kwh),H6_inactive,total_energy_kwh,<,30,0,8.420833333333329,7.157708333333336,-1.2631249999999998,-1.2631249999999996,2.2584051416334807e-16,-5592995591067397.0,-0.15000000000000005,-1.2631249999999996,-1.2631249999999996,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.15: vs baseline (energy_per_accepted_block_kwh),H6_inactive,energy_per_accepted_block_kwh,,30,0,0.5122051204341419,0.508729499458063,-0.0034756209760789156,-0.017093571937321916,0.09828246990952048,-0.035363590061163463,-0.006785603730655798,-0.03603167708528382,0.033426007647171296,0.8468153184681532,1.0,0.28938779296386474,False,
H6,H6 N=100 inact=0.3: vs baseline (inactive_domain),H6_inactive,inactive_domain,>,30,0,0.0,5.076e+16,5.076e+16,5.076e+16,0.0,,,5.076e+16,5.076e+16,,,4.320463057827488e-08,True,True
H6,H6 N=100 inact=0.3: vs baseline (exhausted_rounds),H6_inactive,exhausted_rounds,>,30,0,2.3666666666666667,3.033333333333333,0.6666666666666666,0.5,1.2954385047312087,0.5146262553041788,0.2816901408450704,0.23333333333333334,1.1333333333333333,0.012898710128987101,0.128987101289871,0.010244215445594517,False,True
H6,H6 N=100 inact=0.3: vs baseline (effective_block_interval_s),H6_inactive,effective_block_interval_s,>,30,0,608.2594206046218,818.4187544481662,210.15933384354443,185.60606060606062,153.70326178397812,1.3673056212620416,0.3455093776182569,157.58595406428222,265.467492102554,9.999000099990002e-05,0.0023997600239976003,2.5561870245802228e-06,False,True
