hypothesis,label,outcome,n_pairs,ref_mean,trt_mean,mean_diff,median_diff_hl,boot_ci_lo,boot_ci_hi,perm_p,p_holm,wilcoxon_p,perm_deterministic,direction_met
H5,H5 B3 N=100: weighted vs equal (completion_time_std_s),completion_time_std_s,30,769.4470361198714,3.4600194174936773e-10,-769.4470361195255,-767.309853615003,-799.1031228019979,-739.7425935795696,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 B3 N=100: weighted vs equal (total_idle_time_s),total_idle_time_s,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,False
H5,H5 B3 N=100: weighted vs equal (total_energy_kwh),total_energy_kwh,30,8.42083333333333,8.42083333333333,0.0,0.0,0.0,0.0,,,,True,
H5,H5 B3 N=500: weighted vs equal (completion_time_std_s),completion_time_std_s,30,800.3310489296936,1.7678572557454082e-09,-800.3310489279258,-800.0491781848583,-815.4686525653522,-785.5125122052436,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 B3 N=500: weighted vs equal (total_idle_time_s),total_idle_time_s,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,False
H5,H5 B3 N=500: weighted vs equal (total_energy_kwh),total_energy_kwh,30,8.420833333333329,8.420833333333329,0.0,0.0,0.0,0.0,,,,True,
H5,H5 C2 N=100: weighted vs equal (completion_time_std_s),completion_time_std_s,30,769.4470361198714,3.4600194174936773e-10,-769.4470361195255,-767.309853615003,-799.1031228019979,-739.7425935795696,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=100: weighted vs equal (total_idle_time_s),total_idle_time_s,30,386840.8337502038,2.0256915667237235e-07,-386840.83375000115,-383255.5760746051,-433814.1946890453,-339315.9319315924,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=100: weighted vs equal (total_energy_kwh),total_energy_kwh,30,5.0380260347363315,8.420833333331798,3.382807298595467,3.359235256867712,3.0165720719000975,3.741904018870168,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,
H5,H5 C2 N=500: weighted vs equal (completion_time_std_s),completion_time_std_s,30,800.3310489296936,1.7678572557454082e-09,-800.3310489279258,-800.0491781848583,-815.4686525653522,-785.5125122052436,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=500: weighted vs equal (total_idle_time_s),total_idle_time_s,30,2231372.8946386483,7.921920991254305e-06,-2231372.894630727,-2277931.2502160836,-2516333.798732471,-1937842.8020270986,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,True
H5,H5 C2 N=500: weighted vs equal (total_energy_kwh),total_energy_kwh,30,4.612893111072233,8.420833333321331,3.8079402222491012,3.890452221552605,3.3719541038122043,4.232410463300742,9.999000099990002e-05,0.0007999200079992001,1.862645149230957e-09,False,
