hypothesis,label,outcome,n_pairs,ref_mean,trt_mean,mean_diff,median_diff_hl,boot_ci_lo,boot_ci_hi,perm_p,p_holm,perm_deterministic,direction_met
H6,H6 N=100 inact=0.05: vs baseline (inactive_domain),inactive_domain,30,0.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,8460000000000000.0,,,True,True
H6,H6 N=100 inact=0.05: vs baseline (exhausted_rounds),exhausted_rounds,30,2.3666666666666667,2.6333333333333333,0.26666666666666666,0.5,0.06666666666666667,0.4666666666666667,0.0367963203679632,0.2943705629437056,False,True
H6,H6 N=100 inact=0.05: vs baseline (effective_block_interval_s),effective_block_interval_s,30,608.2594206046218,660.9743221635805,52.714901558958644,49.34210526315792,30.57759746441771,77.30870570759015,0.00019998000199980003,0.0029997000299970007,False,True
H6,H6 N=100 inact=0.05: vs baseline (accepted_blocks),accepted_blocks,30,17.166666666666668,16.033333333333335,-1.1333333333333333,-1.0,-1.6,-0.7,0.00019998000199980003,0.0029997000299970007,False,True
H6,H6 N=100 inact=0.05: vs baseline (total_energy_kwh),total_energy_kwh,30,8.420833333333329,7.9997916666666695,-0.42104166666666565,-0.42104166666666565,-0.42104166666666565,-0.42104166666666565,,,True,True
H6,H6 N=100 inact=0.05: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,30,0.5122051204341419,0.5287656874324859,0.01656056699834406,0.01335541000939855,-0.0005645646431963234,0.03554570043086716,0.08539146085391461,0.426957304269573,False,
H6,H6 N=100 inact=0.15: vs baseline (inactive_domain),inactive_domain,30,0.0,2.538e+16,2.538e+16,2.538e+16,2.538e+16,2.538e+16,,,True,True
H6,H6 N=100 inact=0.15: vs baseline (exhausted_rounds),exhausted_rounds,30,2.3666666666666667,2.7666666666666666,0.4,0.5,0.06666666666666667,0.8,0.0547945205479452,0.3835616438356164,False,True
H6,H6 N=100 inact=0.15: vs baseline (effective_block_interval_s),effective_block_interval_s,30,608.2594206046218,710.7435449540712,102.48412434944946,83.33333333333331,58.95885572259412,152.6891508044759,9.999000099990002e-05,0.0023997600239976003,False,True
H6,H6 N=100 inact=0.15: vs baseline (accepted_blocks),accepted_blocks,30,17.166666666666668,14.866666666666667,-2.3,-2.0,-3.2333333333333334,-1.4666666666666666,9.999000099990002e-05,0.0023997600239976003,False,True
H6,H6 N=100 inact=0.15: vs baseline (total_energy_kwh),total_energy_kwh,30,8.420833333333329,7.157708333333336,-1.2631249999999998,-1.2631249999999996,-1.2631249999999996,-1.2631249999999996,,,True,True
H6,H6 N=100 inact=0.15: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,30,0.5122051204341419,0.508729499458063,-0.0034756209760789156,-0.017093571937321916,-0.03603167708528382,0.033426007647171296,0.8468153184681532,1.0,False,
H6,H6 N=100 inact=0.3: vs baseline (inactive_domain),inactive_domain,30,0.0,5.076e+16,5.076e+16,5.076e+16,5.076e+16,5.076e+16,,,True,True
H6,H6 N=100 inact=0.3: vs baseline (exhausted_rounds),exhausted_rounds,30,2.3666666666666667,3.033333333333333,0.6666666666666666,0.5,0.23333333333333334,1.1333333333333333,0.012898710128987101,0.128987101289871,False,True
H6,H6 N=100 inact=0.3: vs baseline (effective_block_interval_s),effective_block_interval_s,30,608.2594206046218,818.4187544481662,210.15933384354443,185.60606060606062,157.58595406428222,265.467492102554,9.999000099990002e-05,0.0023997600239976003,False,True
H6,H6 N=100 inact=0.3: vs baseline (accepted_blocks),accepted_blocks,30,17.166666666666668,13.066666666666666,-4.1,-4.0,-5.033333333333333,-3.2,9.999000099990002e-05,0.0023997600239976003,False,True
H6,H6 N=100 inact=0.3: vs baseline (total_energy_kwh),total_energy_kwh,30,8.420833333333329,5.894583333333335,-2.5262499999999997,-2.526249999999999,-2.526249999999999,-2.526249999999999,,,True,True
H6,H6 N=100 inact=0.3: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,30,0.5122051204341419,0.4824237549657587,-0.029781365468383298,-0.04125357744107744,-0.062126203852508353,0.003907017493913563,0.09729027097290271,0.426957304269573,False,
