run_id,miner_count,seed,idle_power_ratio,idle_power_saving_kwh,observed_saving_kwh,coordination_energy_kwh,residual_kwh,relative_residual,pass
S5B2-00600,100,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00601,100,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00602,100,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00603,100,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00604,100,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00605,100,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00606,100,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00607,100,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00608,100,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00609,100,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00610,100,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00611,100,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00612,100,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00613,100,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00614,100,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00615,100,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00616,100,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00617,100,20260218,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00618,100,20260219,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00619,100,20260220,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00620,100,20260221,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00621,100,20260222,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00622,100,20260223,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00623,100,20260224,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00624,100,20260225,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00625,100,20260226,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00626,100,20260227,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00627,100,20260228,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00628,100,20260229,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00629,100,20260230,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00630,200,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00631,200,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00632,200,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00633,200,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00634,200,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00635,200,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00636,200,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00637,200,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00638,200,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00639,200,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00640,200,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00641,200,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00642,200,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00643,200,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00644,200,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00645,200,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00646,200,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00647,200,20260218,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00648,200,20260219,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00649,200,20260220,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00650,200,20260221,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00651,200,20260222,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00652,200,20260223,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00653,200,20260224,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00654,200,20260225,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00655,200,20260226,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00656,200,20260227,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00657,200,20260228,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00658,200,20260229,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00659,200,20260230,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00660,300,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00661,300,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00662,300,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00663,300,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00664,300,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00665,300,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00666,300,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00667,300,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00668,300,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00669,300,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00670,300,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00671,300,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00672,300,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00673,300,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00674,300,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00675,300,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00676,300,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00677,300,20260218,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00678,300,20260219,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00679,300,20260220,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00680,300,20260221,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00681,300,20260222,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00682,300,20260223,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00683,300,20260224,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00684,300,20260225,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00685,300,20260226,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00686,300,20260227,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00687,300,20260228,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00688,300,20260229,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00689,300,20260230,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00690,400,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00691,400,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00692,400,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00693,400,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00694,400,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00695,400,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00696,400,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00697,400,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00698,400,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00699,400,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00700,400,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00701,400,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00702,400,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00703,400,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00704,400,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00705,400,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00706,400,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00707,400,20260218,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00708,400,20260219,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00709,400,20260220,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00710,400,20260221,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00711,400,20260222,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00712,400,20260223,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00713,400,20260224,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00714,400,20260225,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00715,400,20260226,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00716,400,20260227,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00717,400,20260228,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00718,400,20260229,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00719,400,20260230,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00720,500,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00721,500,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00722,500,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00723,500,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00724,500,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00725,500,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00726,500,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00727,500,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00728,500,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00729,500,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00730,500,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00731,500,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00732,500,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00733,500,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00734,500,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00735,500,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00736,500,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00737,500,20260218,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00738,500,20260219,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00739,500,20260220,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00740,500,20260221,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00741,500,20260222,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00742,500,20260223,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00743,500,20260224,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00744,500,20260225,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00745,500,20260226,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00746,500,20260227,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00747,500,20260228,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00748,500,20260229,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00749,500,20260230,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00750,100,20260201,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00751,100,20260202,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00752,100,20260203,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00753,100,20260204,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00754,100,20260205,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00755,100,20260206,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00756,100,20260207,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00757,100,20260208,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00758,100,20260209,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00759,100,20260210,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00760,100,20260211,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00761,100,20260212,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00762,100,20260213,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00763,100,20260214,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00764,100,20260215,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00765,100,20260216,0.0,0.0,0.0,0.0,0.0,0.0,True
S5B2-00766,100,20260217,0.0,0.0,0.0,0.0,0.0,0.0,True
